measurement_id,sample_id_x,station_id,cruise_id,age,length,weight,sex_number,maturity_number,gutted_weight,liver_weight,gonad_weight,area_grid,sub_area_grid,shot_latitude,shot_longitude,gsi,hsi,bounding_box,image__content__url,quarter,quarter_2,quarter_3,quarter_4,quarter_sin,quarter_cos
23252978,536992,338643,20516,10.0,74,5805.0,1.0,2.0,3806.0,91.0,422.0,621,1,66.5005,-21.612,7.26959517657192,1.5676141257536609,"[[3562, 784], [4534, 1428]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=nodOr8rlrEHbWQzSF%2BANry8XL6w%3D&Expires=1765370956,1,False,False,False,1.0,6.123233995736766e-17
23253194,536993,338644,20516,4.0,47,1095.0,2.0,1.0,881.0,27.0,,671,3,66.5876666666667,-21.5428333333333,,2.4657534246575343,"[[5094, 1594], [5869, 2220]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=uWAeM88%2B982snS64K53n4xo%2BMUE%3D&Expires=1765370942,1,False,False,False,1.0,6.123233995736766e-17
23253190,536993,338644,20516,5.0,64,2425.0,2.0,1.0,1730.0,62.0,,671,3,66.5876666666667,-21.5428333333333,,2.556701030927835,"[[997, 1450], [2059, 2079]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=t7hAIr%2BdxlqNL2x5ekWwoRh0x%2Fc%3D&Expires=1765370946,1,False,False,False,1.0,6.123233995736766e-17
23253191,536993,338644,20516,5.0,60,2338.0,1.0,1.0,1849.0,51.0,,671,3,66.5876666666667,-21.5428333333333,,2.1813515825491874,"[[2118, 1551], [2921, 2094]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=PiaHJfMbqAvuS3Su0WTeYsFV%2B7Y%3D&Expires=1765370950,1,False,False,False,1.0,6.123233995736766e-17
23253192,536993,338644,20516,4.0,51,1336.0,1.0,1.0,1031.0,89.0,,671,3,66.5876666666667,-21.5428333333333,,6.661676646706587,"[[2955, 1539], [3916, 2184]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=uWAeM88%2B982snS64K53n4xo%2BMUE%3D&Expires=1765370942,1,False,False,False,1.0,6.123233995736766e-17
23253193,536993,338644,20516,5.0,65,2797.0,2.0,1.0,2029.0,98.0,,671,3,66.5876666666667,-21.5428333333333,,3.5037540221666075,"[[3982, 1566], [5043, 2195]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=n%2BLtTgO3gVD1GGql75lnf66oSN4%3D&Expires=1765370944,1,False,False,False,1.0,6.123233995736766e-17
23253195,536993,338644,20516,6.0,72,3376.0,1.0,1.0,2523.0,81.0,,671,3,66.5876666666667,-21.5428333333333,,2.3992890995260665,"[[5907, 1560], [6969, 2189]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=UM4SZkr3ICulXQviWdW872aQuwk%3D&Expires=1765370945,1,False,False,False,1.0,6.123233995736766e-17
23253278,536993,338644,20516,4.0,45,916.0,1.0,1.0,678.0,21.0,,671,3,66.5876666666667,-21.5428333333333,,2.292576419213974,"[[2040, 2331], [2823, 2914]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=MjXhoYIjT8Sr1L2DeT4nrscA29M%3D&Expires=1765370948,1,False,False,False,1.0,6.123233995736766e-17
23253301,536993,338644,20516,6.0,50,1650.0,2.0,1.0,1163.0,49.0,,671,3,66.5876666666667,-21.5428333333333,,2.9696969696969697,"[[6388, 3919], [7450, 4548]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=pbZbRCVe8d1%2BiCptgUIYyE89csU%3D&Expires=1765370951,1,False,False,False,1.0,6.123233995736766e-17
23253298,536993,338644,20516,5.0,55,2107.0,2.0,2.0,1430.0,67.0,138.0,671,3,66.5876666666667,-21.5428333333333,6.5495965828191745,3.179876601803512,"[[3776, 3982], [4585, 4577]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=ndIZG2yjv%2F%2BbgL1u4gr2SecVrsQ%3D&Expires=1765370960,1,False,False,False,1.0,6.123233995736766e-17
23253297,536993,338644,20516,5.0,59,2340.0,1.0,1.0,1719.0,46.0,,671,3,66.5876666666667,-21.5428333333333,,1.9658119658119655,"[[2979, 4000], [3726, 4575]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=IVj%2F%2FUpQ4YuZ%2BV0ZXygHrBX%2FPf0%3D&Expires=1765370953,1,False,False,False,1.0,6.123233995736766e-17
23253295,536993,338644,20516,7.0,72,4710.0,2.0,52.0,3367.0,129.0,18.0,671,3,66.5876666666667,-21.5428333333333,0.3821656050955414,2.7388535031847137,"[[2011, 3970], [2921, 4572]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=t7hAIr%2BdxlqNL2x5ekWwoRh0x%2Fc%3D&Expires=1765370946,1,False,False,False,1.0,6.123233995736766e-17
23253293,536993,338644,20516,5.0,54,1959.0,2.0,1.0,1493.0,42.0,,671,3,66.5876666666667,-21.5428333333333,,2.1439509954058193,"[[991, 4037], [1933, 4548]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=MjXhoYIjT8Sr1L2DeT4nrscA29M%3D&Expires=1765370948,1,False,False,False,1.0,6.123233995736766e-17
23253290,536993,338644,20516,5.0,58,2268.0,2.0,1.0,1657.0,55.0,,671,3,66.5876666666667,-21.5428333333333,,2.4250440917107583,"[[6050, 3114], [7111, 3743]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=MjXhoYIjT8Sr1L2DeT4nrscA29M%3D&Expires=1765370948,1,False,False,False,1.0,6.123233995736766e-17
23253289,536993,338644,20516,5.0,56,2059.0,1.0,2.0,1457.0,50.0,98.0,671,3,66.5876666666667,-21.5428333333333,4.759592034968431,2.428363283147159,"[[5146, 3184], [5955, 3731]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=t7hAIr%2BdxlqNL2x5ekWwoRh0x%2Fc%3D&Expires=1765370946,1,False,False,False,1.0,6.123233995736766e-17
23253288,536993,338644,20516,6.0,61,2365.0,1.0,2.0,1768.0,63.0,28.0,671,3,66.5876666666667,-21.5428333333333,1.1839323467230445,2.66384778012685,"[[4053, 3108], [5114, 3737]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=KDudZ0WqNebHBToRGYM2iKjVHDQ%3D&Expires=1765370947,1,False,False,False,1.0,6.123233995736766e-17
23253287,536993,338644,20516,5.0,61,2572.0,1.0,1.0,1868.0,87.0,,671,3,66.5876666666667,-21.5428333333333,,3.382581648522551,"[[2932, 3083], [3993, 3712]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=8AvKtSn5g4vAVbmaZRCN4EsscVc%3D&Expires=1765370943,1,False,False,False,1.0,6.123233995736766e-17
23253286,536993,338644,20516,6.0,64,2917.0,2.0,1.0,2102.0,60.0,,671,3,66.5876666666667,-21.5428333333333,,2.0569077819677752,"[[2041, 3116], [2878, 3688]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=UM4SZkr3ICulXQviWdW872aQuwk%3D&Expires=1765370945,1,False,False,False,1.0,6.123233995736766e-17
23253284,536993,338644,20516,5.0,62,2586.0,1.0,1.0,1819.0,88.0,,671,3,66.5876666666667,-21.5428333333333,,3.402938901778809,"[[1082, 3122], [1982, 3694]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=PiaHJfMbqAvuS3Su0WTeYsFV%2B7Y%3D&Expires=1765370950,1,False,False,False,1.0,6.123233995736766e-17
23253283,536993,338644,20516,5.0,61,2449.0,2.0,1.0,1742.0,45.0,,671,3,66.5876666666667,-21.5428333333333,,1.8374846876276032,"[[5914, 2402], [6975, 3031]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=PUerGX8iuOtcgYx%2Fg9YMVaapaWw%3D&Expires=1765370958,1,False,False,False,1.0,6.123233995736766e-17
23253282,536993,338644,20516,4.0,50,1549.0,2.0,1.0,1152.0,38.0,,671,3,66.5876666666667,-21.5428333333333,,2.4531956100710137,"[[4814, 2383], [5876, 3012]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=nodOr8rlrEHbWQzSF%2BANry8XL6w%3D&Expires=1765370956,1,False,False,False,1.0,6.123233995736766e-17
23253281,536993,338644,20516,5.0,60,2298.0,2.0,1.0,1731.0,64.0,,671,3,66.5876666666667,-21.5428333333333,,2.78503046127067,"[[3891, 2380], [4763, 2969]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=tmDL4rj8GTXYJ1AG32Kgqn4AI14%3D&Expires=1765370949,1,False,False,False,1.0,6.123233995736766e-17
23253280,536993,338644,20516,5.0,55,1768.0,1.0,1.0,1301.0,46.0,,671,3,66.5876666666667,-21.5428333333333,,2.6018099547511313,"[[2900, 2361], [3818, 2944]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=PiaHJfMbqAvuS3Su0WTeYsFV%2B7Y%3D&Expires=1765370950,1,False,False,False,1.0,6.123233995736766e-17
23253277,536993,338644,20516,4.0,52,1595.0,2.0,1.0,1138.0,39.0,,671,3,66.5876666666667,-21.5428333333333,,2.445141065830721,"[[1082, 2349], [1982, 2926]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=pbZbRCVe8d1%2BiCptgUIYyE89csU%3D&Expires=1765370951,1,False,False,False,1.0,6.123233995736766e-17
23253300,536993,338644,20516,6.0,73,3985.0,2.0,52.0,3025.0,88.0,16.0,671,3,66.5876666666667,-21.5428333333333,0.4015056461731492,2.208281053952321,"[[5436, 3927], [6354, 4536]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=PiaHJfMbqAvuS3Su0WTeYsFV%2B7Y%3D&Expires=1765370950,1,False,False,False,1.0,6.123233995736766e-17
23253299,536993,338644,20516,6.0,69,3445.0,1.0,2.0,2603.0,128.0,197.0,671,3,66.5876666666667,-21.5428333333333,5.718432510885341,3.715529753265602,"[[4596, 3951], [5402, 4511]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=KDudZ0WqNebHBToRGYM2iKjVHDQ%3D&Expires=1765370947,1,False,False,False,1.0,6.123233995736766e-17
23253711,536994,338645,20516,5.0,61,2226.0,2.0,1.0,1569.0,46.0,,671,4,66.666,-21.4545,,2.0664869721473496,"[[4374, 2007], [5435, 2637]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=HTk9hCkZwo6cqCMJ5IDZJiheehc%3D&Expires=1765370951,1,False,False,False,1.0,6.123233995736766e-17
23253707,536994,338645,20516,4.0,43,913.0,2.0,1.0,735.0,15.0,,671,4,66.666,-21.4545,,1.642935377875137,"[[2388, 1950], [3228, 2559]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=HTk9hCkZwo6cqCMJ5IDZJiheehc%3D&Expires=1765370951,1,False,False,False,1.0,6.123233995736766e-17
23253704,536994,338645,20516,7.0,75,4187.0,1.0,1.0,3081.0,105.0,,671,4,66.666,-21.4545,,2.5077621208502507,"[[1302, 1920], [2364, 2549]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=QTiihFcL%2BioyRyVtYyDJTALP94c%3D&Expires=1765370956,1,False,False,False,1.0,6.123233995736766e-17
23253712,536994,338645,20516,4.0,51,1358.0,1.0,1.0,1017.0,46.0,,671,4,66.666,-21.4545,,3.3873343151693667,"[[5499, 2166], [6501, 2673]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=yHQ1WW2b7fPqBYuAM%2FdMZQYlWdk%3D&Expires=1765370955,1,False,False,False,1.0,6.123233995736766e-17
23253709,536994,338645,20516,5.0,58,2332.0,2.0,1.0,1570.0,66.0,,671,4,66.666,-21.4545,,2.8301886792452833,"[[3279, 1934], [4341, 2563]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=OrZj8I7qleGNFS6r8mX7hp1Qgeo%3D&Expires=1765370950,1,False,False,False,1.0,6.123233995736766e-17
23253702,536994,338645,20516,3.0,40,640.0,2.0,1.0,514.0,16.0,,671,4,66.666,-21.4545,,2.5,"[[6043, 1261], [7104, 1890]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=OrZj8I7qleGNFS6r8mX7hp1Qgeo%3D&Expires=1765370950,1,False,False,False,1.0,6.123233995736766e-17
23253700,536994,338645,20516,6.0,67,3610.0,2.0,1.0,2540.0,101.0,,671,4,66.666,-21.4545,,2.7977839335180055,"[[5105, 1176], [6001, 1807]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=XthiG0%2BrDRRGibkwYtkHTvx1%2BAY%3D&Expires=1765370945,1,False,False,False,1.0,6.123233995736766e-17
23253692,536994,338645,20516,6.0,65,3330.0,1.0,2.0,2301.0,67.0,178.0,671,4,66.666,-21.4545,5.345345345345345,2.012012012012012,"[[4025, 1155], [5086, 1784]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=JnICV%2BTzAEp6dJvP7HlBMrTlokg%3D&Expires=1765370949,1,False,False,False,1.0,6.123233995736766e-17
23253669,536994,338645,20516,7.0,68,3075.0,1.0,2.0,2745.0,50.0,183.0,671,4,66.666,-21.4545,5.951219512195122,1.6260162601626018,"[[3115, 1147], [3991, 1762]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=3brznI4R1qK7WDjVcLm3q%2FANsUY%3D&Expires=1765370954,1,False,False,False,1.0,6.123233995736766e-17
23253609,536994,338645,20516,7.0,58,2034.0,2.0,1.0,1416.0,53.0,,671,4,66.666,-21.4545,,2.605703048180924,"[[1109, 1082], [2101, 1719]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=yHQ1WW2b7fPqBYuAM%2FdMZQYlWdk%3D&Expires=1765370955,1,False,False,False,1.0,6.123233995736766e-17
23253525,536994,338645,20516,6.0,67,3827.0,1.0,1.0,2571.0,76.0,,671,4,66.666,-21.4545,,1.9858897308596812,"[[6124, 446], [7185, 1075]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/2acdee5104e8406713616bfa81cbc9b428cc819e6ceff14f0e55b70ebdb3186d.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=mRKecue%2BaBjWBNag%2Fr%2BE94dyyJQ%3D&Expires=1765370958,1,False,False,False,1.0,6.123233995736766e-17
